"","visit_date","condition","time_spent_homepage_sec","clicked_article","clicked_like","clicked_share","gender"
"1","2021/4/1","tips",49.01160898,1,0,1,"female"
"2","2021/4/1","tips",48.86451536,1,0,0,"others"
"3","2021/4/1","tips",49.07466688,1,0,0,"others"
"4","2021/4/1","tips",49.26010875,0,1,0,"neutral"
"5","2021/4/1","tips",50.37189779,0,1,0,"male"
"6","2021/4/1","tips",49.08457948,1,0,0,"female"
"7","2021/4/1","tips",50.47326326,1,0,0,"female"
"8","2021/4/1","tips",50.4510814,1,0,0,"others"
"9","2021/4/1","tips",49.91106051,1,0,0,"neutral"
"10","2021/4/1","tips",49.8963902,0,0,0,"others"
"11","2021/4/1","tips",51.08966805,0,0,0,"neutral"
"12","2021/4/1","tips",48.90248935,1,0,0,"others"
"13","2021/4/1","tips",48.48730867,0,0,0,"neutral"
"14","2021/4/1","tips",49.43072679,1,1,0,"female"
"15","2021/4/1","tips",49.33098001,1,1,0,"male"
"16","2021/4/1","tips",49.37079101,1,0,0,"neutral"
"17","2021/4/1","tips",52.07595896,1,0,0,"female"
"18","2021/4/1","tips",47.88585304,0,0,0,"female"
"19","2021/4/1","tips",47.98470676,0,0,0,"female"
"20","2021/4/1","tips",50.72990586,1,0,0,"others"
"21","2021/4/1","tips",49.47639899,1,0,0,"male"
"22","2021/4/1","tips",49.70148703,1,0,0,"male"
"23","2021/4/1","tips",50.76077008,0,1,0,"neutral"
"24","2021/4/1","tips",50.11233872,0,0,0,"male"
"25","2021/4/1","tips",50.81461073,1,0,0,"male"
"26","2021/4/1","tips",50.59239668,1,0,0,"male"
"27","2021/4/1","tips",50.52619899,1,0,0,"others"
"28","2021/4/1","tips",51.15566063,1,1,0,"others"
"29","2021/4/1","tips",51.24035591,0,0,0,"neutral"
"30","2021/4/1","tips",49.3401876,0,0,0,"female"
"31","2021/4/1","tips",50.68632651,1,0,0,"neutral"
"32","2021/4/1","tips",50.27952207,1,0,0,"neutral"
"33","2021/4/1","tips",52.07298809,0,0,0,"female"
"34","2021/4/1","tips",50.69942041,1,0,0,"neutral"
"35","2021/4/1","tips",49.34807292,1,1,0,"female"
"36","2021/4/1","tips",50.2568543,0,0,0,"neutral"
"37","2021/4/1","tips",50.28283171,1,0,0,"others"
"38","2021/4/1","tips",50.71285178,1,0,0,"male"
"39","2021/4/1","tips",49.7039329,1,0,0,"female"
"40","2021/4/1","tips",50.51419443,0,0,0,"female"
"41","2021/4/1","tips",50.5524453,0,0,0,"neutral"
"42","2021/4/1","tips",51.07366116,1,1,0,"others"
"43","2021/4/1","tips",50.17048593,1,0,0,"others"
"44","2021/4/1","tips",50.33748156,1,0,0,"male"
"45","2021/4/1","tips",50.59172967,0,0,0,"neutral"
"46","2021/4/1","tips",50.80513002,1,1,0,"neutral"
"47","2021/4/1","tips",48.68162757,1,1,0,"male"
"48","2021/4/1","tips",49.68535733,1,0,0,"male"
"49","2021/4/1","tips",49.4281726,1,1,0,"neutral"
"50","2021/4/1","tips",50.22259846,1,0,0,"male"
"51","2021/4/1","tips",49.66792697,0,0,0,"male"
"52","2021/4/1","tips",49.46235961,0,0,0,"neutral"
"53","2021/4/1","tips",48.28401495,1,0,0,"neutral"
"54","2021/4/1","tips",50.62985537,1,0,0,"others"
"55","2021/4/1","tips",50.16109014,0,0,0,"male"
"56","2021/4/1","tips",50.49018816,0,0,0,"neutral"
"57","2021/4/1","tips",50.47706181,1,1,0,"male"
"58","2021/4/1","tips",48.30950358,0,0,0,"female"
"59","2021/4/1","tips",49.11692751,0,0,0,"female"
"60","2021/4/1","tips",51.81187291,0,0,0,"neutral"
"61","2021/4/1","tips",52.77053027,1,0,0,"female"
"62","2021/4/1","tips",51.31936758,0,0,0,"neutral"
"63","2021/4/1","tips",48.77592637,0,0,0,"female"
"64","2021/4/1","tips",49.09504951,1,1,0,"others"
"65","2021/4/1","tips",49.65130838,1,0,0,"others"
"66","2021/4/1","tips",48.52732498,1,0,0,"male"
