,Education,Marital_Status,Response,NumDealsPurchases,NumWebPurchases,NumStorePurchases,Gender,MSalary,Purchased,Age,Spent
1,college,Single,1,3,8,4,Male,60000,0,62,546
2,college,Single,0,2,1,2,Female,86000,0,77,6
3,college,Together,0,1,8,10,Male,99000,1,67,127
4,college,Together,0,2,2,4,Male,38000,0,60,20
5,PhD,Married,0,5,5,6,Male,97000,0,57,118
6,Master,Together,0,2,6,10,Female,81000,0,56,98
7,college,Divorced,0,4,7,7,Male,60000,0,35,164
8,PhD,Married,0,2,4,4,Male,51000,0,49,56
9,PhD,Together,1,1,3,2,Male,54000,0,32,24
10,PhD,Together,0,1,1,0,Female,49000,0,60,6
11,college,Married,0,1,1,2,Male,20000,0,52,6
12,highschool,Married,0,1,2,3,Female,47000,1,19,11
13,college,Divorced,0,1,3,8,Male,66000,0,35,480
14,Master,Divorced,0,3,6,5,Female,68000,1,73,53
15,college,Married,0,1,1,3,Male,46000,0,50,17
16,PhD,Single,1,1,7,12,Male,1.00E+05,1,20,115
17,college,Married,0,3,3,3,Male,98000,0,55,19
18,college,Together,0,2,4,6,Male,72000,1,58,38
19,Master,Married,0,2,11,9,Male,80000,1,54,498
20,basic,Single,0,2,2,3,Male,26000,1,36,19
21,college,Married,0,1,4,5,Female,81000,1,25,73
22,college,Married,0,15,0,0,Female,36000,0,26,1725
23,PhD,Married,0,3,2,9,Male,37000,0,66,86
24,PhD,Married,0,3,6,9,Male,61000,0,74,102
25,college,Together,0,7,7,5,Female,45000,1,35,27
26,college,Single,0,2,2,3,Female,66000,0,34,25
27,college,Married,0,4,5,4,Male,87000,1,75,30
28,college,Single,0,0,27,0,Male,95000,0,52,3
29,college,Married,0,2,2,4,Male,80000,0,31,42
30,PhD,Married,0,1,6,10,Male,77000,1,26,801
31,Master,Divorced,0,2,3,3,Male,66000,0,66,10
32,Master,Together,0,1,2,3,Male,48000,1,52,44
33,college,Together,0,2,2,4,Female,29000,1,62,5
34,PhD,Divorced,1,6,4,6,Male,20000,1,68,96
35,Master,Married,0,1,3,9,Male,45000,0,70,471
36,Master,Single,0,1,2,3,Female,33000,1,60,19
37,PhD,Married,0,5,5,12,Female,66000,1,37,151
38,basic,Married,0,3,3,2,Female,22000,0,35,14
39,college,Widow,0,2,1,3,Male,97000,1,23,6
40,PhD,Divorced,1,2,7,5,Male,91000,1,76,206
41,college,Married,0,2,8,5,Male,85000,1,52,536
42,Master,Married,0,2,2,3,Male,50000,1,77,29
43,college,Together,0,1,0,3,Female,59000,0,44,6
44,PhD,Single,0,1,1,4,Female,30000,0,57,50
45,Master,Married,0,3,2,3,Male,47000,1,18,10
46,college,Single,0,1,2,9,Female,22000,1,38,266
47,basic,Married,1,3,3,3,Male,67000,0,60,14
48,college,Together,0,1,2,2,Female,90000,0,33,15
49,college,Single,0,3,2,4,Female,54000,1,24,48
50,PhD,Married,0,9,5,12,Female,26000,0,38,317
51,college,Widow,0,1,4,10,Female,48000,1,55,125
52,Master,Married,0,1,6,13,Male,48000,1,19,780
53,college,Single,0,2,2,3,Male,26000,0,30,20
54,college,Divorced,1,1,4,7,Female,27000,1,47,550
55,college,Married,0,7,4,10,Male,69000,1,71,124
56,Master,Together,1,1,3,13,Male,69000,1,46,432
57,college,Divorced,1,1,5,10,Female,35000,1,55,482
58,college,Single,0,1,1,4,Male,25000,0,33,8
59,college,Single,0,2,2,3,Female,68000,1,62,22
60,PhD,Married,0,3,8,6,Male,55000,0,43,28
61,Master,Single,1,1,3,11,Female,54000,1,50,538
62,college,Together,0,4,4,12,Female,33000,0,35,102
63,college,Single,0,4,8,10,Male,86000,1,20,134
64,PhD,Widow,0,1,7,8,Female,90000,0,42,48
65,college,Together,0,1,7,4,Female,24000,1,25,367
66,college,Married,1,1,1,2,Male,42000,0,40,6
67,college,Together,0,1,1,2,Male,45000,0,27,1
68,basic,Single,1,1,11,10,Female,51000,0,46,309
69,college,Together,0,1,5,10,Male,47000,1,67,159
70,college,Together,0,7,2,5,Male,90000,0,55,487
71,Master,Married,0,3,4,6,Female,71000,1,41,460
72,basic,Married,0,3,3,3,Female,90000,0,22,43
73,college,Married,0,4,10,13,Female,28000,1,74,291
74,PhD,Married,0,5,9,8,Female,93000,1,42,65
75,college,Married,0,1,2,4,Female,61000,1,58,13
76,college,Divorced,0,1,1,2,Female,98000,1,28,6
77,Master,Married,1,1,7,5,Female,44000,0,78,925
78,college,Single,1,0,5,9,Male,44000,0,50,779
79,basic,Together,0,1,0,3,Male,31000,1,43,5
80,college,Together,1,2,10,8,Female,20000,1,55,64
81,college,Single,0,4,3,4,Female,70000,0,25,68
82,college,Married,0,1,1,2,Male,60000,0,19,5
83,basic,Married,0,3,3,3,Male,59000,0,37,19
84,Master,Together,0,1,2,3,Female,99000,0,48,44
85,college,Divorced,0,1,3,13,Female,41000,0,41,424
86,college,Married,0,2,1,4,Male,47000,0,40,14
87,Master,Married,0,5,3,4,Female,44000,0,68,16
88,college,Single,1,4,6,6,Female,28000,1,23,37
89,college,Married,0,1,5,7,Female,71000,1,18,568
90,college,Together,0,1,2,5,Female,87000,0,20,39
